username,text,likes,retweets,replies,views,created_at
brubankarg," ¡Participá por $20 millones en premios! 

Tus compras con tu tarjeta de Débito Visa Brubank participan por un premio final de $10 millones 

Además, participás por 25 premios semanales de $50.000 

Ver términos y condiciones en 
visa.com.ar",20,2,57,0,2021-12-07T18:59:14.000Z
brubankarg,"Llegó la ruedita de servicios 
¡Terminá el año con tus facturas al día! 

Desde la app podés pagar todos tus servicios, ¡buscá el que necesites!

Además, si los pagás desde Brubank podés ganar premios instantáneos 

¡Tenés hasta el 12 de diciembre para participar!",12,1,24,0,2021-12-02T15:24:03.000Z
brubankarg," Ver términos y condiciones en 
brubank.com/promociones",2,0,7,0,2021-12-02T16:25:29.000Z
brubankarg,"¡Que nada te frene!
Cuotificá tus compras con Brubank y disfrutá

Comprá lo que quieras con tu Visa Brubank, ingresá a la app, seleccioná el gasto y elegí si querés pagarlo en 6, 12, 24, 36 ó 48 cuotas.

Te devolvemos el monto de tu compra al instante

Cuotificá con Brubank",86,8,37,0,2021-11-26T22:38:22.000Z
brubankarg,"¡Muchas gracias a todos los brubankers que hicieron su aporte a 
@FundFavaloro
! 

Por cada $1 donado, Brubank se compromete a donar otro $1 

Agradecemos también a la Fundación Favaloro por confiar en nosotros ",20,0,3,0,2021-11-26T15:54:39.000Z
brubankarg,"¿Lo piden? ¡Lo tienen! Ahora si, HAY RUEDITA  Ya podés pagar todos tus servicios desde la app y ganar hasta $100.000 

Ver términos y condiciones en 
brubank.com/promociones",31,3,19,0,2021-09-08T20:31:54.000Z
brubankarg,"¡El gaming es el presente y el futuro! 

Hoy celebramos las horas invertidas, las victorias, las derrotas ¡y mucho más! 

Feliz día 

Le deseamos lo mejor a 
@ebrogaming
 en las Wild Rift Finals 2021 ",45,3,13,0,2021-08-29T18:13:25.000Z
brubankarg," ¡2.000.000 de brubankers, más de $2.000.000 en premios! 

¡Llegamos a los 2 millones y queremos festejarlo con vos! 

Este viernes, sábado y domingo tus compras con tu tarjeta Brubank Visa participan en nuestra ruedita de promos. 

¡Comprá, girá y ganá! ",73,5,28,0,2021-08-13T14:59:18.000Z
brubankarg,"Ver términos y condiciones en 
brubank.com/promociones",1,0,7,0,2021-08-13T14:59:48.000Z
brubankarg,"Ya somos 2 MILLONES de brubankers.

 ¡2 MILLONES de influencers que nos eligen día a día! 

¡Muchas gracias!

Vamos por más ",142,11,23,0,2021-08-12T19:20:01.000Z
