username,text,likes,retweets,replies,views,created_at,best_trend,trend_similarity,best_trend_position
uala_arg,"Solo por 48hs, canjeá tus puntos Uala+ por millas Smiles y recibís 140% millas bonus ",2,1,5,1000,2025-06-12T14:13:09.000Z,,0.0,
uala_arg,"-Vos: Necesito una señal para saber qué hacer con mi plata
-Nosotros: la cuenta remunerada que hoy tiene la mejor tasa plus: 35% TNA ",17,3,3,3000,2025-06-11T20:55:05.000Z,,0.0,
uala_arg,Dejá de ser endeud-HADA y pasá a ser remuner-HADA con la cuenta remunerada rinde más: 35% TNA,24,1,13,6000,2025-06-09T13:45:02.000Z,,0.0,
uala_arg,No tendré lambo rosa pero tengo 100% de reintegro en el subte ,6,0,11,3000,2025-06-05T13:34:44.000Z,,0.0,
uala_arg,Durante todo junio tenés hasta 100% de reintegro en el subte pagando con tu tarjeta de crédito y prepaga desde tu celular. Tope: hasta $20.000 ,1,1,3,2000,2025-06-05T13:35:31.000Z,,0.0,
uala_arg,"Como X es servicio, ya sabés en qué podés invertir tus dólares fácil y rápido ",7,0,6,4000,2025-06-02T18:25:41.000Z,,0.0,
uala_arg,"¿Te quedaste sin hamburguesa el miércoles? Tranqui, tenés revancha  
30% de reintegro en Mc Donald´s pagando con la tarjeta prepaga desde el celu ",1,1,7,3000,2025-05-30T14:51:07.000Z,,0.0,
uala_arg,¿Te cansaste de olvidarte la billetera y volver a buscarla? Esto te va a interesar ,5,0,5,3000,2025-05-29T15:26:58.000Z,,0.0,
uala_arg,"Ahora también podés usar tu Tarjeta de Crédito Ualá desde la Billetera de Google™ y pagar fácil, rápido y seguro en comercios y transporte",9,0,5,2000,2025-05-29T15:29:33.000Z,,0.0,
uala_arg,"¿Y esta CHAD?

Es fachera.
 No pagás costos de mantenimiento.
 Tenés promos para ahorrar.

¿Qué más querés? Pedila gratis desde la app 
uala.onelink.me/tTSW/n4eh20lz ",85,5,43,19000,2025-05-09T19:20:36.000Z,,0.0,
uala_arg,"¡Lo viejo funciona, Juan!",74,5,45,20000,2025-05-08T14:10:50.000Z,,0.0,
uala_arg,"¿Todavía pagás costos de mantenimiento en tu Tarjeta de Crédito? Eso ya fue 

 Descargá la app y pedí la tuya gratis.",6,3,16,4000,2025-05-07T17:44:22.000Z,,0.0,
uala_arg,Hoy no te quedes a pata y aprovechá esta tremenda promo ,25,1,14,4000,2025-05-06T16:07:35.000Z,,0.0,
