following_username,following_name,count
@LeoMargets,Leo Margets,1
@InteriorFut,Interior Futbolero,1
@IMFSpokesperson,"Julie Kozack, IMF",1
@FranoFo,Francisco,1
@HistoriaNG,Historia National Geographic,1
@Fundbaccigalupo,FundacionBaccigalupo,1
@GabrielSnchez17,Gabriel Sánchez,1
@GabyLob,SissiEmperatriz,1
@GastonGertner,Gastón Gertner,1
@GerardoLopez,Gerardo López,1
@GiuliMaglietti,Giuliana Maglietti,1
@Giulicastgnaro,Giuliano Castagnaro,1
@GoldmanSachs,Goldman Sachs,1
@GonchiTurcuman7,Toti,1
@Gonzaacarrera_,Gonzalo Carrera,1
@GordoEdicion,El gordo edición,1
@GranHermanoAr,Gran Hermano,1
@Grito_delSur,El Grito del Sur,1
@GuidoKaska,Guido Kaczka ღ,1
@HMarVera,mar vera ojeda,1
@HernanSCastillo,Hernán Castillo,1
@Hernanreg,Hernan Regiardo,1
@EconUdesa,Departamento de Economía - U. de San Andrés,1
@DolarBlueDiario,Dólar Blue Hoy,1
@DoctoraSexual,Doctora Sexual,1
@AndresACisneros,Andrés Cisneros,1
@AraziMartin,Martin Arazi,1
@Arce_Carlos_,Carlos Arce,1
@ArgElecciones,Elecciones Argentina 2025,1
@ArganarasMaira,cande,1
@Ariquiroga03,Ariana,1
@ArrepentidosLLA,Arrepentidos de Milei,1
@ArtemJoyero1,Artem Joyero Ucraniano,1
@Arteymas_,El Club del Arte,1
@AscensoHundido,AscensoHundido,1
@AsisOberdan,Jorge Asis,1
@BNPeriodismo,BN,1
@BalliMarixa,Marixa Balli,1
@Barbiizabala,Baarr,1
@BaulDeLDU,Baúl de LDU,1
@Bennrubio,El Princeso,1
@Bladifiquese,Fedaykin,1
@BombitaDarin,Ricardo Darin,1
@Andres_vernazza,Andres Vernazza,1
@AnaCaro75153945,Ana Carol,1
@DiegoJRecalde,Diego Recalde,1
@AlertaNews24,Alerta News 24,1
@504_todo,sexo casero muy Rico,1
@74carlosnob,carlos badaracco,1
@7PRETOS,PRETO soy luz .,1
@888ff_,fifona,1
@A3Noticias,Antena 3 Noticias,1
@AESTIVIC,Alberto Štivić,1
@AFPespanol,Agence France-Presse,1
@ALBERTOACOSTAB,Alberto Acosta-Burneo,1
@AUFOficial,AUF,1
@Ag_Monteverde,Agustín Monteverde,1
@AgendaCAF,CAF,1
@Agussbenitez07,gugu,1
@AlbertoRavell,Alberto Ravell,1
@AlbertoRodNews,AlbertoRodNews,1
@Albotermo,Albotermo,1
@AleCiroAlvarez,Alejandro Alvarez,1
@Alepereyra91298,Ale,1
@BotArgenzuela,Argenzuela TV,1
@BumperCrop1,Bumper Crop,1
@CAPArgento__,Peñargrol,1
@CATalleresdecba,Club Atlético Talleres,1
@ClonanVandalo,Subcomandante Clonan,1
@CneCapital,CNE Distrito Capital,1
@CodigoVidrioEc,Código Vidrio,1
@Columbia,Columbia University,1
@CompromisoEduc,Compromiso Educación,1
@ComunicacionEc,Comunicación Ecuador,1
@Conifafa,Coni Fafasuli,1
@Cristobalpusso,Cristóbal,1
@D22025Dickinson,Paul Bruce Dickinson,1
@DAIAArgentina,DAIA,1
@DARIOLOPREITE,DARIOLOPREITE,1
@DOGE__news,(news) DOGE,1
@DanannOficial,Emmanuel Danann,1
@DanielNoboaOk,Daniel Noboa Azin,1
@DataDiario,Data Diario,1
@DeclaracionDDMM,Derechos de las Mujeres basados en el Sexo,1
@DecutRojas,Sonia Rojas Decut,1
@ChuoTorrealba,Jesus Chuo Torrealba,1
@ChuchoTrader,Chucho,1
@ChinaEmbArg,Embajada de China en Argentina,1
@CandeBulacio2,chocolatito,1
@CFKArgentina,Cristina Kirchner,1
@CHRISTI40239486,CHRISTIANSEN,1
@CHTorrendell,Carlos Horacio Torrendell,1
@CNBC,CNBC,1
@CNN,CNN,1
@Cadena3Com,Cadena 3 Argentina,1
@CamiiGonzalez52,pulga,1
@CarajoStream,Carajo,1
@CheLibertarian,Che Libertarian,1
@CaraotaDigital,Caraota Digital,1
@CarburandoTV,Carburando,1
@CarlaYumatle,Carla Yumatle,1
@CarolaPessino,Carola Pessino,1
@CaruSomoza,Caru Somoza,1
@CatClaudio,ClaudioAndradeCAT,1
@CentroDatosArg,Centro Argentino de Datos,1
@Leonardo_Padron,Leonardo Padrón,1
@Lgiannatta48389,Luigi_Giannattasio Montes de Oca,1
@arilijalad,ari lijalad,1
@SeleBarrionuev,Sele Barrionuevo,1
@SexoSinCensura2,SexoSinCensura,1
@SickoFrankRizzo,Frank Rizzo,1
@Sobacigalupo,ˢᵒᶠⁱᵃ,1
@Sofiabrambilla,Sofia Brambilla,1
@SoyAlpinito,Alpinito,1
@SoyFeudaleM,Marcela Feudale,1
@SsissyS,Ssissy,1
@StalinCobena,Stalin Cobena,1
@TheGrinder44,Michael Mizrachi - The Grinder,1
@TheRussianVolga,Ruso,1
@TheTopComics,The Top Comics,1
@Tinchoo_10,Martincho ,1
@TodoNegativo,Todo Negativo,1
@TorresErwerle,Valentín Torres Erwerle,1
@TraderX3AL30,TraderBCRA,1
@TraductorTeAma,Traductor,1
@TravelVida,𝚃𝚛𝚊𝚟𝚎𝚕 𝚅𝚒𝚍𝚊,1
@SevillaRoque,Roque Sevilla,1
@Sebasrur,Sebastián Srur,1
@UBAonline,UBAonline,1
@Sdnjuli,Julieta,1
@RazziniVeronica,Vero Razzini,1
@RecibimientoT,Recibimiento Albiazul,1
@RenzoMPantich,RENZO PANTICH,1
@RepFrenchHill,French Hill,1
@Republica_naOK,Silvia_RepublicanaOK,1
@ResisGarrahan,Residencia Pediatria Garrahan,1
@RiverLPM,La Página Millonaria,1
@RociAp16,Rocio Aparicio,1
@Rociotorrez_11,Roo,1
@RodB1509,Rodrigo Braga,1
@RodrigoFronzo,Rodrigo Fronzo,1
@Rojodamian,Damian Rojo,1
@RunRunesWeb,Runrunes,1
@SIA_Argentino,Servicio de Inteligencia Argentino,1
@SantiForrester_,Santi Forrester,1
